current_rest_link,rest_title,rest_rating,deal_name,deal_desc,full_menu_items_list,full_prices_list,full_discounts_list,full_pic_list
f2io/mo-dou-du-xiang-guo-1,茉荳獨享鍋,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),爆料海鮮泡飯,$ 140,NA,1
f2io/mo-dou-du-xiang-guo-1,茉荳獨享鍋,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),沙茶蒜頭鍋燒麵,from $ 135,NA,1
f2io/mo-dou-du-xiang-guo-1,茉荳獨享鍋,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),北海道牛奶鍋燒麵,from $ 145,NA,1
f2io/mo-dou-du-xiang-guo-1,茉荳獨享鍋,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),南洋椰奶鍋燒麵,from $ 145,NA,1
f2io/mo-dou-du-xiang-guo-1,茉荳獨享鍋,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),招牌綜合滷,$ 100,NA,1
f3mr/chun-shui-tang-yue-cheng-guang-chang,春水堂 (悦誠廣場),4.7/5,指定餐點享77折,指定餐點專區享77折(數量有限，售完為止，口味不得挑選。),Deep Fried Chicken boxed meal,from $ 188,NA,1
f3mr/chun-shui-tang-yue-cheng-guang-chang,春水堂 (悦誠廣場),4.7/5,指定餐點享77折,指定餐點專區享77折(數量有限，售完為止，口味不得挑選。),Soy Sauce Braised Pork Chop Noodles Boxed Meal,from $ 158,NA,1
f3mr/chun-shui-tang-yue-cheng-guang-chang,春水堂 (悦誠廣場),4.7/5,指定餐點享77折,指定餐點專區享77折(數量有限，售完為止，口味不得挑選。),Pearl Milk Tea,from $ 80,NA,1
f3mr/chun-shui-tang-yue-cheng-guang-chang,春水堂 (悦誠廣場),4.7/5,指定餐點享77折,指定餐點專區享77折(數量有限，售完為止，口味不得挑選。),黃金香酥雞,from $ 95,NA,1
f3mr/chun-shui-tang-yue-cheng-guang-chang,春水堂 (悦誠廣場),4.7/5,指定餐點享77折,指定餐點專區享77折(數量有限，售完為止，口味不得挑選。),功夫麵 (乾),from $ 90,NA,1
f3mr/chun-shui-tang-yue-cheng-guang-chang,春水堂 (悦誠廣場),4.7/5,指定餐點享77折,指定餐點專區享77折(數量有限，售完為止，口味不得挑選。),御品牛肉麵,from $ 190,NA,1
e7cn/liu-shan-men-gao-xiong-shi-quan-dian,六扇門 (高雄十全店),4.6/5,NA,NA,韓式泡菜鍋,from $ 170,NA,1
e7cn/liu-shan-men-gao-xiong-shi-quan-dian,六扇門 (高雄十全店),4.6/5,NA,NA,川味麻辣鍋,from $ 180,NA,1
e7cn/liu-shan-men-gao-xiong-shi-quan-dian,六扇門 (高雄十全店),4.6/5,NA,NA,十全藥膳鍋,from $ 180,NA,1
e7cn/liu-shan-men-gao-xiong-shi-quan-dian,六扇門 (高雄十全店),4.6/5,NA,NA,經典原味鍋,from $ 160,NA,1
e7cn/liu-shan-men-gao-xiong-shi-quan-dian,六扇門 (高雄十全店),4.6/5,NA,NA,沙茶鍋,from $ 160,NA,1
e7cn/liu-shan-men-gao-xiong-shi-quan-dian,六扇門 (高雄十全店),4.6/5,NA,NA,大腸臭臭鍋,from $ 170,NA,1
y3ek/da-bu-tie-ban-shao-gao-xiong-bo-ai-dian,大埔鐵板燒 (高雄博愛店),4.7/5,NA,NA,Single Meal A,$ 270,NA,1
y3ek/da-bu-tie-ban-shao-gao-xiong-bo-ai-dian,大埔鐵板燒 (高雄博愛店),4.7/5,NA,NA,Couple Meal A,$ 415,NA,1
y3ek/da-bu-tie-ban-shao-gao-xiong-bo-ai-dian,大埔鐵板燒 (高雄博愛店),4.7/5,NA,NA,Couple Meal B,$ 470,NA,0
y3ek/da-bu-tie-ban-shao-gao-xiong-bo-ai-dian,大埔鐵板燒 (高雄博愛店),4.7/5,NA,NA,Beef,$ 145,NA,1
y3ek/da-bu-tie-ban-shao-gao-xiong-bo-ai-dian,大埔鐵板燒 (高雄博愛店),4.7/5,NA,NA,Mutton,$ 145,NA,0
y3ek/da-bu-tie-ban-shao-gao-xiong-bo-ai-dian,大埔鐵板燒 (高雄博愛店),4.7/5,NA,NA,Chicken,$ 145,NA,0
y8hh/la-ya-han-bao-gao-xiong-zi-qiang-dian,拉亞漢堡 (高雄城峰店),4.7/5,NA,NA,起司厚牛美式漢堡,from $ 75,NA,1
y8hh/la-ya-han-bao-gao-xiong-zi-qiang-dian,拉亞漢堡 (高雄城峰店),4.7/5,NA,NA,咔啦雞腿美式漢堡,from $ 70,NA,1
y8hh/la-ya-han-bao-gao-xiong-zi-qiang-dian,拉亞漢堡 (高雄城峰店),4.7/5,NA,NA,總匯蛋湯種吐司,from $ 65,NA,1
y8hh/la-ya-han-bao-gao-xiong-zi-qiang-dian,拉亞漢堡 (高雄城峰店),4.7/5,NA,NA,火腿歐姆蛋湯種吐司,from $ 55,NA,1
y8hh/la-ya-han-bao-gao-xiong-zi-qiang-dian,拉亞漢堡 (高雄城峰店),4.7/5,NA,NA,紅茶拿鐵【大杯】,$ 55,NA,1
y8hh/la-ya-han-bao-gao-xiong-zi-qiang-dian,拉亞漢堡 (高雄城峰店),4.7/5,NA,NA,拿鐵咖啡,$ 55,NA,1
x2ib/luo-shi-fu-mian-shi-guan,羅師傅麵食館,4.6/5,NA,NA,Beef Roll Pancake,$ 110,NA,1
x2ib/luo-shi-fu-mian-shi-guan,羅師傅麵食館,4.6/5,NA,NA,Pork Fried Dumpling,$ 80,NA,1
x2ib/luo-shi-fu-mian-shi-guan,羅師傅麵食館,4.6/5,NA,NA,Steamed Shrimp Buns,$ 120,NA,1
x2ib/luo-shi-fu-mian-shi-guan,羅師傅麵食館,4.6/5,NA,NA,Beef Fried Rice,$ 100,NA,1
x2ib/luo-shi-fu-mian-shi-guan,羅師傅麵食館,4.6/5,NA,NA,Pork Fried Rice,$ 90,NA,0
x2ib/luo-shi-fu-mian-shi-guan,羅師傅麵食館,4.6/5,NA,NA,Fried Gnocchi,$ 90,NA,1
z5kj/xin-shang-hai-chou-chou-guo-jiu-ru-dian,新上海臭臭鍋 (九如店),4.7/5,NA,NA,牛肉鍋,from $ 140,NA,1
z5kj/xin-shang-hai-chou-chou-guo-jiu-ru-dian,新上海臭臭鍋 (九如店),4.7/5,NA,NA,豬肉鍋,from $ 140,NA,0
z5kj/xin-shang-hai-chou-chou-guo-jiu-ru-dian,新上海臭臭鍋 (九如店),4.7/5,NA,NA,大腸鍋,from $ 150,NA,0
z5kj/xin-shang-hai-chou-chou-guo-jiu-ru-dian,新上海臭臭鍋 (九如店),4.7/5,NA,NA,泡菜鍋,from $ 150,NA,1
z5kj/xin-shang-hai-chou-chou-guo-jiu-ru-dian,新上海臭臭鍋 (九如店),4.7/5,NA,NA,麻辣鍋,from $ 170,NA,0
z5kj/xin-shang-hai-chou-chou-guo-jiu-ru-dian,新上海臭臭鍋 (九如店),4.7/5,NA,NA,牛奶鍋,from $ 170,NA,1
y6ap/qing-se-niu-rou-mian-rui-feng-chang-sheng-dian,清一色牛肉麵 (瑞豐昌盛店),4.6/5,NA,NA,大四喜滿漢牛肉麵【獨家餐點】,$ 210,NA,1
y6ap/qing-se-niu-rou-mian-rui-feng-chang-sheng-dian,清一色牛肉麵 (瑞豐昌盛店),4.6/5,NA,NA,碰碰胡招牌牛肉麵【獨家餐點】,$ 160,NA,1
y6ap/qing-se-niu-rou-mian-rui-feng-chang-sheng-dian,清一色牛肉麵 (瑞豐昌盛店),4.6/5,NA,NA,紅燒牛肉麵【獨家餐點】,$ 140,NA,1
y6ap/qing-se-niu-rou-mian-rui-feng-chang-sheng-dian,清一色牛肉麵 (瑞豐昌盛店),4.6/5,NA,NA,軟嫩牛肉麵【獨家餐點】,$ 150,NA,1
y6ap/qing-se-niu-rou-mian-rui-feng-chang-sheng-dian,清一色牛肉麵 (瑞豐昌盛店),4.6/5,NA,NA,麻辣牛肉麵【獨家餐點】,$ 150,NA,1
y6ap/qing-se-niu-rou-mian-rui-feng-chang-sheng-dian,清一色牛肉麵 (瑞豐昌盛店),4.6/5,NA,NA,豚骨餛飩拉麵【獨家餐點】,$ 110,NA,1
lf9p/san-shang-qiao-fu-4450ming-cheng-dian,三商巧福 (4450明誠店),4.6/5,NA,NA,半筋半肉牛肉麵套餐,from $ 195,NA,1
lf9p/san-shang-qiao-fu-4450ming-cheng-dian,三商巧福 (4450明誠店),4.6/5,NA,NA,原汁牛肉麵套餐,from $ 185,NA,1
lf9p/san-shang-qiao-fu-4450ming-cheng-dian,三商巧福 (4450明誠店),4.6/5,NA,NA,番茄牛肉麵套餐,from $ 195,NA,1
lf9p/san-shang-qiao-fu-4450ming-cheng-dian,三商巧福 (4450明誠店),4.6/5,NA,NA,超大盛牛肉壽喜飯套餐,from $ 190,NA,1
lf9p/san-shang-qiao-fu-4450ming-cheng-dian,三商巧福 (4450明誠店),4.6/5,NA,NA,紅燒排骨飯套餐,from $ 165,NA,1
lf9p/san-shang-qiao-fu-4450ming-cheng-dian,三商巧福 (4450明誠店),4.6/5,NA,NA,雙人經濟C,from $ 300,NA,1
e5m5/pin-san-bei-han-shen-bai-huo-dian,品三杯 (漢神百貨店),4.3/5,全品項滿300打85折,指定店家全館消費滿$300享85折優惠,三杯腿庫(原味/辣味),from $ 229$ 269,$ 269,1
e5m5/pin-san-bei-han-shen-bai-huo-dian,品三杯 (漢神百貨店),4.3/5,全品項滿300打85折,指定店家全館消費滿$300享85折優惠,三杯雞(原味/辣味),from $ 212$ 249,$ 249,1
e5m5/pin-san-bei-han-shen-bai-huo-dian,品三杯 (漢神百貨店),4.3/5,全品項滿300打85折,指定店家全館消費滿$300享85折優惠,三杯雞軟骨(原味/辣味),from $ 169$ 199,$ 199,1
e5m5/pin-san-bei-han-shen-bai-huo-dian,品三杯 (漢神百貨店),4.3/5,全品項滿300打85折,指定店家全館消費滿$300享85折優惠,三杯杏鮑菇(原味/辣味),from $ 169$ 199,$ 199,1
e5m5/pin-san-bei-han-shen-bai-huo-dian,品三杯 (漢神百貨店),4.3/5,全品項滿300打85折,指定店家全館消費滿$300享85折優惠,家庭三杯雞,from $ 213$ 250,$ 250,1
e5m5/pin-san-bei-han-shen-bai-huo-dian,品三杯 (漢神百貨店),4.3/5,全品項滿300打85折,指定店家全館消費滿$300享85折優惠,家庭三杯雞軟骨,from $ 187$ 220,$ 220,1
x3cg/da-ye-tie-ban-shao-liao-li,大也鐵板燒料理,4.6/5,滿$100折$10,指定店家全館消費滿$100折$10,熊貓獨家套餐,from $ 390,NA,1
x3cg/da-ye-tie-ban-shao-liao-li,大也鐵板燒料理,4.6/5,滿$100折$10,指定店家全館消費滿$100折$10,香蒜雞腿排餐,from $ 350,NA,1
x3cg/da-ye-tie-ban-shao-liao-li,大也鐵板燒料理,4.6/5,滿$100折$10,指定店家全館消費滿$100折$10,經濟餐,from $ 160,NA,1
x3cg/da-ye-tie-ban-shao-liao-li,大也鐵板燒料理,4.6/5,滿$100折$10,指定店家全館消費滿$100折$10,沙茶蟳肉餐,from $ 160,NA,1
x3cg/da-ye-tie-ban-shao-liao-li,大也鐵板燒料理,4.6/5,滿$100折$10,指定店家全館消費滿$100折$10,巴沙魚餐,from $ 160,NA,1
x3cg/da-ye-tie-ban-shao-liao-li,大也鐵板燒料理,4.6/5,滿$100折$10,指定店家全館消費滿$100折$10,香煎鮪魚,from $ 180,NA,1
l8hl/xin-pai-gu-chao-fan,新一排骨炒飯,4.7/5,NA,NA,招牌香滷排骨炒飯,from $ 110,NA,0
l8hl/xin-pai-gu-chao-fan,新一排骨炒飯,4.7/5,NA,NA,鮮炸排骨炒飯,from $ 110,NA,0
l8hl/xin-pai-gu-chao-fan,新一排骨炒飯,4.7/5,NA,NA,厚切牛肉炒飯,from $ 100,NA,0
l8hl/xin-pai-gu-chao-fan,新一排骨炒飯,4.7/5,NA,NA,薄鹽松阪豬炒飯,from $ 100,NA,0
l8hl/xin-pai-gu-chao-fan,新一排骨炒飯,4.7/5,NA,NA,剝皮辣椒雞湯 ,$ 80,NA,0
l8hl/xin-pai-gu-chao-fan,新一排骨炒飯,4.7/5,NA,NA,清燉蛤蜊雞湯 ,$ 80,NA,0
z9pt/da-shang-hai-huo-guo-gao-xiong-yu-cheng-dian,大上海火鍋 (高雄裕誠店),4.6/5,NA,NA,大腸鍋,$ 130,NA,1
z9pt/da-shang-hai-huo-guo-gao-xiong-yu-cheng-dian,大上海火鍋 (高雄裕誠店),4.6/5,NA,NA,泡菜鍋,$ 130,NA,1
z9pt/da-shang-hai-huo-guo-gao-xiong-yu-cheng-dian,大上海火鍋 (高雄裕誠店),4.6/5,NA,NA,海鮮鍋,$ 130,NA,1
z9pt/da-shang-hai-huo-guo-gao-xiong-yu-cheng-dian,大上海火鍋 (高雄裕誠店),4.6/5,NA,NA,牛肉鍋,$ 130,NA,1
z9pt/da-shang-hai-huo-guo-gao-xiong-yu-cheng-dian,大上海火鍋 (高雄裕誠店),4.6/5,NA,NA,豬肉鍋,$ 130,NA,1
z9pt/da-shang-hai-huo-guo-gao-xiong-yu-cheng-dian,大上海火鍋 (高雄裕誠店),4.6/5,NA,NA,麻辣鍋,$ 160,NA,1
t3jg/shi-long-gao-xiong-ming-cheng-dian,石一籠 (高雄明誠店),4.7/5,NA,NA,小籠湯包,$ 65,NA,1
t3jg/shi-long-gao-xiong-ming-cheng-dian,石一籠 (高雄明誠店),4.7/5,NA,NA,蝦餃,$ 70,NA,1
t3jg/shi-long-gao-xiong-ming-cheng-dian,石一籠 (高雄明誠店),4.7/5,NA,NA,鮮蝦煎餃,$ 70,NA,1
t3jg/shi-long-gao-xiong-ming-cheng-dian,石一籠 (高雄明誠店),4.7/5,NA,NA,冬瓜排骨酥湯,$ 55,NA,0
